id,text_kz,text_ru,category,urgency,region,status,reply_text,duplicate
256,Қаланың орталық саябағындағы фонтан жұмыс істемейді.,Фонтан в центральном парке города не работает.,экология,низкая,Павлодар,решена,Проведены ремонтные работы. Фонтан будет запущен в ближайшие дни.,False
257,"Мен зейнеткермін, маған қандай да бір әлеуметтік көмек түрлері бар ма?","Я пенсионер, положена ли мне какая-либо социальная помощь?",соцподдержка,низкая,Караганда,новая,В зависимости от вашего дохода и социального статуса вы можете претендовать на различные виды помощи. Для консультации обратитесь в ЦОН.,False
258,Көршімнің иті аулада еркін жүреді және балаларға үреді.,Соседская собака гуляет во дворе без поводка и лает на детей.,полиция,низкая,Астана,решена,С владельцем собаки проведена профилактическая беседа о правилах выгула домашних животных. При повторении будет составлен протокол.,False
259,Ауылдағы интернеттің жылдамдығы мемлекеттік қызметтерді алуға жеткіліксіз.,Скорости интернета в селе недостаточно для получения госуслуг.,интернет,средняя,Северо-Казахстанская область,в процессе,Вопрос обеспечения широкополосного доступа к интернету в сельской местности находится на постоянном контроле.,True
260,"Автобус жүргізушісі қауіпті маневрлер жасап, басқа көліктерге қауіп төндірді.","Водитель автобуса совершал опасные маневры, создавая угрозу другим машинам.",общественный транспорт,высокая,Алматы,решена,Водитель временно отстранен от работы. Будет проведена проверка его профессиональных навыков.,False
261,"Жолға салынған 'жатқан полицейлер' стандартқа сай емес, тым биік.","'Лежачие полицейские' на дороге не соответствуют стандарту, слишком высокие.",дороги,низкая,Шымкент,в процессе,Будет проведена проверка соответствия искусственных неровностей установленным стандартам. При необходимости их заменят.,False
262,Көп қабатты үйдің жертөлесін бөгде адамдар мекендеп алған.,В подвале многоэтажного дома поселились посторонние лица.,ЖКХ,средняя,Астана,решена,"Совместно с участковым инспектором проведена проверка. Посторонние лица выдворены, доступ в подвал ограничен.",False
263,Ауылдық амбулаторияда дәрі-дәрмектер жетіспейді.,В сельской амбулатории не хватает лекарств.,медицина,средняя,Жамбылская область,в процессе,Информация о лекарственном обеспечении амбулатории будет проверена. Будут приняты меры по пополнению запасов.,False
264,Мектептегі жөндеу жұмыстарына бөлінген қаржыға сапасыз материалдар сатып алынған.,"На деньги, выделенные для ремонта школы, закупили некачественные материалы.",коррупция,высокая,Алматинская область,новая,Будет создана комиссия для проверки качества использованных материалов и целевого расходования бюджетных средств.,False
265,Мектеп асханасында санитарлық талаптар сақталмайды.,В школьной столовой не соблюдаются санитарные нормы.,образование,высокая,Караганда,решена,"Проведена внеплановая проверка СЭС. Выявлены нарушения, вынесено предписание об их устранении. Поставщик питания оштрафован.",False
266,"Өнеркәсіптік аймақтың жанында тұру мүмкін емес, ауа үнемі лас.","Невозможно жить рядом с промышленной зоной, воздух постоянно грязный.",экология,средняя,Темиртау,новая,Вопрос создания и соблюдения санитарно-защитных зон вокруг промышленных предприятий находится на контроле.,True
267,Жалғыз басты ана ретінде маған қандай көмек көрсетіледі?,Какая помощь мне положена как матери-одиночке?,соцподдержка,низкая,Астана,новая,Вы можете претендовать на адресную социальную помощь в случае низкого дохода. Для получения консультации обратитесь в ЦОН.,False
268,Көшедегі шу деңгейі рұқсат етілген нормадан жоғары.,Уровень шума на улице превышает допустимые нормы.,полиция,низкая,Алматы,в процессе,"Будут проведены замеры уровня шума. В случае превышения будут приняты меры к источникам шума (стройки, заведения).",False
269,Мобильді интернеттің жылдамдығы келісім-шартта көрсетілгеннен әлдеқайда төмен.,"Скорость мобильного интернета значительно ниже, чем указано в договоре.",интернет,низкая,Шымкент,новая,"Рекомендуем обратиться к оператору с официальной претензией, приложив результаты замеров скорости.",True
270,"Автобус жүргізушісі аялдамада тоқтамай, есікті жолда ашып, жолаушыларды түсірді.","Водитель автобуса не остановился на остановке, а открыл двери и высадил пассажиров на ходу.",общественный транспорт,высокая,Астана,решена,"Это грубейшее нарушение. Водитель уволен. Спасибо за ваш сигнал, который помог предотвратить возможную трагедию.",False
271,"Жол бойындағы арықтар тазаланбаған, су тасу қаупі бар.","Придорожные арыки не чистят, есть угроза подтопления.",дороги,средняя,Талдыкорган,решена,Коммунальные службы провели очистку арычной сети для обеспечения пропуска дождевых вод.,True
272,"Үйдің қасбетінен сылақ түсіп жатыр, бұл өтіп бара жатқан адамдарға қауіпті.","С фасада дома осыпается штукатурка, это опасно для прохожих.",ЖКХ,высокая,Караганда,в процессе,Территория будет огорожена. Управляющей компании будет выдано предписание о необходимости срочного ремонта фасада.,False
273,"Тіс дәрігеріне тегін жазылу мүмкін емес, кезек жарты жылға созылады.","Невозможно бесплатно записаться к стоматологу, очередь на полгода вперед.",медицина,средняя,Алматы,новая,Вопрос доступности плановой стоматологической помощи находится на контроле. Экстренная помощь оказывается без очереди.,False
274,"Мектептегі компьютерлер ескірген, заманауи бағдарламаларды көтермейді.","Компьютеры в школе устарели, не поддерживают современные программы.",образование,низкая,Астана,в процессе,Обновление компьютерного парка в школах проводится поэтапно. Ваша школа включена в план на следующий год.,False
275,"Жол полициясы қызметкері себепсіз тоқтатып, ақша бопсалады.",Сотрудник дорожной полиции остановил без причины и вымогал деньги.,коррупция,высокая,Алматинская область,новая,"Просим вас немедленно обратиться в управление собственной безопасности ДП или Антикоррупционную службу, предоставив все детали инцидента.",False
276,Зауыттың қалдықтарын қала сыртына заңсыз төгіп жатыр.,Отходы завода незаконно вывозят за город.,экология,высокая,Павлодарская область,в процессе,"Будет проведена проверка по данному факту. В случае подтверждения, предприятие будет привлечено к строгой ответственности.",False
277,'Оралман' мәртебесін алу процесі өте ұзаққа созылады.,Процесс получения статуса 'кандас' (оралман) очень затягивается.,соцподдержка,низкая,Мангистауская область,новая,Мы работаем над сокращением сроков рассмотрения документов. Для получения информации о статусе вашего заявления обратитесь в миграционную службу.,False
278,"Көршімнің пәтерінен үнемі шу шығады, полиция шақырсам да нәтиже жоқ.","Из квартиры соседа постоянно доносится шум, вызовы полиции не помогают.",полиция,низкая,Астана,в процессе,Вам следует повторно обратиться к участковому инспектору для составления протокола и передачи дела в суд для принятия мер.,True
279,Интернетке қосылу үшін бірнеше апта күтуге тура келеді.,Приходится ждать подключения к интернету несколько недель.,интернет,низкая,Караганда,новая,Сроки подключения зависят от технической возможности и загруженности монтажных бригад. Мы передадим вашу заявку провайдеру для ускорения.,False
280,"Автобустар кестеден кешігіп жүреді, жұмысқа үнемі кешігемін.","Автобусы ходят с опозданием, постоянно опаздываю на работу.",общественный транспорт,средняя,Алматы,решена,Контроль за соблюдением графика движения на данном маршруте усилен. Введены дополнительные рейсы в часы пик.,True
281,Жолдың ортасындағы ашық люкке көлігімнің дөңгелегі түсіп кетті. Шығынды кім өтейді?,Моя машина попала колесом в открытый люк посреди дороги. Кто возместит ущерб?,дороги,высокая,Астана,в процессе,"Вам необходимо вызвать дорожную полицию для фиксации ДТП. Возмещение ущерба производится организацией, на балансе которой находится данный колодец.",False
282,"Үйдегі жылу жүйесінде ауа тұрып қалған, батареялардың жартысы суық.","Система отопления в доме завоздушена, половина батарей холодные.",ЖКХ,средняя,Петропавловск,решена,Специалисты управляющей компании провели работы по развоздушиванию системы отопления. Теплоснабжение восстановлено.,False
283,Дәрігер мамандығыма сәйкес келмейтін жұмыстарға жегеді.,"Врач заставляет делать работу, не входящую в мои должностные обязанности.",медицина,низкая,Шымкент,новая,Вы можете обратиться с жалобой на действия врача к главному врачу поликлиники или в управление здравоохранения.,False
284,"Балабақшадағы ойыншықтар ескі, балалардың дамуына арналмаған.","Игрушки в детском саду старые, не предназначенные для развития детей.",образование,низкая,Актобе,в процессе,"Вопрос обновления материально-технической базы детских садов, включая игрушки и дидактические материалы, будет рассмотрен.",False
285,Мемлекеттік қызметкер өтінішімді қарауды тездету үшін ақша сұрады.,Госслужащий попросил денег за ускорение рассмотрения моего заявления.,коррупция,высокая,Астана,новая,Это вымогательство и коррупционное правонарушение. Просим вас незамедлительно обратиться на телефон доверия Антикоррупционной службы 1424.,False
286,Саябақтағы ағаштарды себепсіз кесіп жатыр.,В парке без причины вырубают деревья.,экология,средняя,Алматы,в процессе,Будет проведена проверка законности вырубки деревьев. Информация о разрешительных документах будет запрошена у акимата.,True
287,Жетім бала ретінде тұрғын үй кезегіне қалай тұруға болады?,Как встать в очередь на жилье в качестве сироты?,соцподдержка,средняя,Караганда,новая,Вам необходимо обратиться в местный исполнительный орган (акимат) с заявлением и подтверждающими документами. Консультацию можно получить в ЦОНе.,False
288,Полиция қызметкерлері арызымды қабылдаудан бас тартты.,Сотрудники полиции отказались принимать мое заявление.,полиция,высокая,Тараз,в процессе,Отказ в приеме заявления является незаконным. Вы можете подать жалобу на действия сотрудников в прокуратуру или управление собственной безопасности.,False
289,Интернет-провайдермен келісім-шартты бұзу өте қиын.,Очень сложно расторгнуть договор с интернет-провайдером.,интернет,низкая,Астана,новая,"Вы имеете право расторгнуть договор в любое время, уведомив провайдера в установленном порядке. В случае возникновения проблем, обратитесь в агентство по защите прав потребителей.",False
290,Қоғамдық көліктерде төлем қабылдайтын валидаторлар жиі істемейді.,Валидаторы для приема оплаты в общественном транспорте часто не работают.,общественный транспорт,низкая,Алматы,решена,Проводится плановая замена и ремонт оборудования. Перевозчикам указано на необходимость обеспечения его бесперебойной работы.,True
291,"Жолдың үстіндегі жаяу жүргіншілер көпірінің жағдайы нашар, жүруге қорқынышты.","Надземный пешеходный мост в плохом состоянии, по нему страшно ходить.",дороги,средняя,Астана,в процессе,Будет проведено техническое обследование моста. При необходимости будут запланированы ремонтные работы.,False
292,"Жертөледегі құбыр жарылып, ыстық су ағып жатыр.","В подвале прорвало трубу, течет горячая вода.",ЖКХ,высокая,Темиртау,решена,Аварийная служба выехала на место и устранила утечку. Проводятся работы по осушению подвала.,False
293,Емханадағы физиотерапия кабинетіне кезек өте ұзын.,Очень большая очередь в кабинет физиотерапии в поликлинике.,медицина,низкая,Павлодар,новая,Мы рассмотрим возможность увеличения времени работы кабинета или введения дополнительной штатной единицы для сокращения очередей.,False
294,Балабақшадағы топтарда бала саны нормадан әлдеқайда көп.,Количество детей в группах детского сада намного превышает норму.,образование,средняя,Шымкент,в процессе,Проблема переуплотненности групп в детских садах известна. Вопрос решается за счет строительства новых дошкольных учреждений.,True
295,Конкурсты ұтып алған компания басқа субподрядчикке жұмысты беріп қойған.,"Компания, выигравшая конкурс, передала работы другому субподрядчику.",коррупция,низкая,Караганда,новая,"Привлечение субподрядчиков допускается законодательством, но не должно превышать определенный объем работ. Будет проведена проверка.",False
296,"Қала ішіндегі көлдің суы жасыл болып, балықтар өліп жатыр.","Вода в городском озере зацвела, рыба гибнет.",экология,высокая,Астана,в процессе,Специалисты-экологи возьмут пробы воды для установления причин цветения и гибели рыбы. Будут приняты меры по очистке водоема.,False
297,Көпбалалы отбасы ретінде коммуналдық қызметтерге жеңілдіктер қарастырылған ба?,Предусмотрены ли льготы на коммунальные услуги для многодетных семей?,соцподдержка,низкая,Алматы,новая,Отдельные льготы по оплате коммунальных услуг могут предоставляться в рамках жилищной помощи для малообеспеченных семей. Обратитесь в ЦОН.,False
298,"Ауладағы көліктердің сигнализациясы түнде жиі қосылып, ұйқы бермейді.",Сигнализация машин во дворе часто срабатывает по ночам и не дает спать.,полиция,низкая,Караганда,в процессе,Владельцы автомобилей несут ответственность за исправность сигнализации. Участковый инспектор проведет профилактическую беседу с автовладельцами.,False
299,Интернетке қосылу келісім-шартындағы кейбір тармақтар түсініксіз жазылған.,Некоторые пункты в договоре на подключение к интернету написаны непонятно.,интернет,низкая,Астана,новая,"Вы имеете право потребовать от провайдера разъяснения всех пунктов договора до его подписания. Не подписывайте документ, если вам что-то неясно.",False
300,"Автобус жүргізушісі жол ақысын төлегеніме қарамастан, билет бермеді.","Водитель автобуса не выдал билет, хотя я оплатил проезд.",общественный транспорт,низкая,Алматы,решена,Выдача билета является обязательной. С водителем проведена работа. Спасибо за вашу гражданскую позицию.,False
301,"Талдықорған қаласы, Қабанбай батыр көшесіндегі жолдың жағдайы өте нашар. Жамауға да келмейді, толық ауыстыру керек.","В городе Талдыкорган по улице Кабанбай батыра состояние дороги ужасное. Ямочный ремонт уже не помогает, нужна полная замена полотна.",дороги,средняя,Жетысуская область,новая,Капитальный ремонт данной улицы будет рассмотрен при формировании плана дорожных работ на следующий год.,False
302,Бір аптадан бері ыстық су жоқ. Авариялық қызмет себебін түсіндірмейді.,Уже неделю нет горячей воды. Аварийная служба не объясняет причин.,ЖКХ,высокая,Астана,в процессе,На теплотрассе ведутся ремонтные работы. Подача горячей воды будет восстановлена в течение 48 часов. Приносим извинения за неудобства.,False
303,Эндокринолог дәрігерге бірнеше айдан бері жазыла алмаймын. Емханада мұндай маман жоқ дейді.,"Не могу записаться к эндокринологу уже несколько месяцев. В поликлинике говорят, что такого специалиста нет.",медицина,средняя,Алматы,новая,Вопрос нехватки узких специалистов находится на контроле. Вам будет предложена консультация в другой медицинской организации.,False
304,Бастауыш сынып оқушыларының сөмкелері өте ауыр. Электронды оқулықтарға көшу мәселесін қарастыру керек.,Портфели учеников начальных классов слишком тяжелые. Нужно рассмотреть вопрос перехода на электронные учебники.,образование,низкая,Шымкент,в процессе,Вопрос внедрения электронных учебников для снижения нагрузки на учащихся прорабатывается Министерством просвещения.,False
305,"Жүргізуші куәлігін алуға емтихан тапсырғанда, инспектор 'көмектесуге' болатынын меңзеді.","При сдаче экзамена на водительские права инспектор намекнул, что может 'помочь'.",коррупция,высокая,Карагандинская область,новая,"Просим вас предоставить более подробную информацию (дату, время, имя инспектора) для проведения служебной проверки.",False
306,"Павлодардағы мұнай өңдеу зауытынан жағымсыз иіс шығып, тыныс алуды қиындатады.","От нефтеперерабатывающего завода в Павлодаре исходит неприятный запах, который затрудняет дыхание.",экология,средняя,Павлодарская область,в процессе,Департамент экологии проведет внеплановую проверку на предприятии на предмет соблюдения нормативов выбросов.,False
307,Мүгедектік бойынша жәрдемақыны бірнеше айдан бері кешіктіріп жатыр.,Задерживают выплату пособия по инвалидности уже несколько месяцев.,соцподдержка,высокая,Актюбинская область,новая,Мы проверим причину задержки. Финансирование на выплату пособий поступило в полном объеме.,False
308,Көршілерім түнде қатты шулайды. Учаскелік полиция ешқандай шара қолданбайды.,Мои соседи сильно шумят по ночам. Участковый не принимает никаких мер.,полиция,низкая,Астана,в процессе,Ваше обращение передано руководству участкового инспектора для принятия мер реагирования.,True
309,"Ауылға оптикалық талшықты интернет тартамыз деп уәде берген, бірақ әлі жұмыс басталмады.","Обещали провести в село оптоволоконный интернет, но работы так и не начались.",интернет,средняя,Восточно-Казахстанская область,новая,Ваш населенный пункт включен в план по прокладке ВОЛС. Сроки реализации проекта будут сообщены дополнительно.,False
310,"Автобус жүргізушісі дөрекі сөйлеп, телефонмен сөйлесіп отырды.",Водитель автобуса грубил и разговаривал по телефону за рулем.,общественный транспорт,низкая,Алматы,решена,С водителем проведена разъяснительная работа. При повторном нарушении он будет отстранен от работы.,True
311,Жолдың жарықтандыру жүйесі істен шыққан. Түнде жүру қауіпті.,Система освещения на дороге вышла из строя. Ночью ездить опасно.,дороги,высокая,Атырауская область,решена,Аварийная бригада устранила неисправность. Освещение на данном участке восстановлено.,False
312,ОСИ төрағасы жиналыс өткізбейді және қаржылық есеп бермейді.,Председатель ОСИ не проводит собрания и не предоставляет финансовый отчет.,ЖКХ,средняя,Астана,новая,Вы имеете право инициировать собрание собственников и потребовать отчет. В случае отказа можно обратиться в жилищную инспекцию.,False
313,Тегін дәрі-дәрмектер тізіміндегі препаратты таба алмай жүрмін.,Не могу найти препарат из списка бесплатных лекарств.,медицина,средняя,Карагандинская область,в процессе,Мы проверим наличие данного препарата на складах 'СК-Фармация' и в аптеках вашего города. Вам сообщат о поступлении.,False
314,"Мектептегі жөндеу жұмыстарына ата-аналардың ақшасына арзан, сапасыз материалдар алынған.","На родительские деньги для ремонта школы закупили дешевые, некачественные материалы.",образование,низкая,Туркестанская область,новая,Сбор денег с родителей не является законным. По данному факту будет проведена проверка деятельности администрации школы.,False
315,"Пара бермейінше, мәселемді шеше алмайтынымды ашық айтты.","Мне открыто сказали, что без взятки мой вопрос не решат.",коррупция,высокая,Шымкент,новая,Это уголовное преступление. Просим вас срочно обратиться в Антикоррупционную службу для фиксации факта вымогательства.,False
316,"Өзеннің бойындағы құрылыс судың арнасын өзгертіп, жағаны бұзып жатыр.",Стройка у реки меняет русло и разрушает берег.,экология,высокая,Алматы,в процессе,Будет проведена проверка законности строительства в водоохранной полосе. При выявлении нарушений стройка будет приостановлена.,False
317,Балама арналған жәрдемақыны рәсімдеу үшін ЦОН-ға бірнеше рет баруға тура келді.,"Пришлось несколько раз ходить в ЦОН, чтобы оформить пособие на ребенка.",соцподдержка,низкая,Астана,решена,"Большинство услуг по назначению пособий сейчас доступны онлайн через портал Egov.kz, что значительно экономит время.",False
318,Көлігімді айыптұрақтан алу үшін полиция қызметкеріне 'сыйақы' беруге тура келді.,"Пришлось дать 'вознаграждение' сотруднику полиции, чтобы забрать машину со штрафстоянки.",полиция,высокая,Алматы,новая,Это незаконно. Просим вас сообщить детали произошедшего в управление собственной безопасности для принятия мер.,False
319,Интернет провайдері ақаулықты жою үшін ақы сұрайды.,Интернет-провайдер просит плату за устранение неисправности на линии.,интернет,низкая,Караганда,новая,Устранение неисправностей на сети провайдера должно производиться бесплатно. Требование оплаты является неправомерным.,False
320,"Автобустың ішінде жарнама өте қатты айқайлап, мазаны алады.",Реклама в автобусе кричит слишком громко и мешает.,общественный транспорт,низкая,Астана,решена,Перевозчикам дано указание отрегулировать громкость звуковой рекламы до комфортного уровня.,False
321,Жол жиегіне қойылған көліктер жаяу жүргіншілерге кедергі келтіреді.,Припаркованные на обочине машины мешают пешеходам.,дороги,низкая,Алматы,в процессе,Будет усилена работа патрульной полиции и службы эвакуации в данном районе.,True
322,"Қоқыс құбыры бітеліп қалды, КСК тазаламайды.","Мусоропровод забился, КСК не прочищает.",ЖКХ,средняя,Темиртау,решена,Управляющей компании дано предписание прочистить мусоропровод. Работы выполнены.,False
323,Дәрігердің қабылдауына жазылған уақытымнан бір сағат кеш кірдім.,Попал на прием к врачу на час позже назначенного времени.,медицина,низкая,Павлодар,новая,Приносим извинения. Задержка была связана с оказанием экстренной помощи предыдущему пациенту.,True
324,Мектептегі дене шынықтыру сабағында қауіпсіздік ережелері сақталмайды.,На уроках физкультуры в школе не соблюдается техника безопасности.,образование,средняя,Актобе,в процессе,Будет проведена проверка организации уроков физкультуры и инструктаж учителей. Спасибо за сигнал.,False
325,"Мемлекеттік мекеменің қызметкері өз жұмысын білмейді, мені әр кабинетке жібереді.","Сотрудник госучреждения некомпетентен, отправляет меня из кабинета в кабинет.",коррупция,низкая,Астана,новая,Мы проведем работу по повышению квалификации сотрудников. Приносим извинения за неудобства.,False
326,"Қаланың орталығындағы ескі ғимараттарды бұзып, орнына сауда орталықтарын салып жатыр.",В центре города сносят старые здания и строят на их месте торговые центры.,экология,низкая,Алматы,новая,Вопросы сохранения исторического облика города рассматриваются на градостроительном совете. Не все старые здания представляют историческую ценность.,False
327,"Жұмыспен қамту орталығы тек ауыр, төмен ақы төленетін жұмыстарды ұсынады.","Центр занятости предлагает только тяжелую, низкооплачиваемую работу.",соцподдержка,низкая,Караганда,новая,База вакансий формируется на основе заявок от работодателей. Рекомендуем также рассмотреть возможность переобучения на востребованные специальности.,False
328,"Жол-патрульдік полициясының көлігі жол ережесін бұзып, қарсы бетке шықты.",Машина дорожно-патрульной полиции нарушила ПДД и выехала на встречную полосу.,полиция,средняя,Астана,в процессе,"По данному факту будет проведена служебная проверка. Просим предоставить видеозапись нарушения, если она имеется.",False
329,"Интернеттің жылдамдығы түнде жақсы, ал күндіз өте баяу.","Скорость интернета хорошая ночью, но очень медленная днем.",интернет,низкая,Шымкент,новая,Это может быть связано с высокой нагрузкой на сеть в дневное время. Провайдеру будет рекомендовано провести работы по расширению канала.,True
330,"Автобус аялдамасының павильоны сынған, жаңбырдан қорғамайды.","Павильон автобусной остановки сломан, не защищает от дождя.",общественный транспорт,низкая,Костанай,решена,Ремонт остановочного павильона произведен. Спасибо за ваше обращение.,False
331,"Жолға салынған суағар торлары бітеліп, жаңбырдан кейін көлкіген су пайда болады.","Ливневые решетки на дороге забиты, после дождя образуются огромные лужи.",дороги,средняя,Астана,решена,Коммунальные службы провели очистку ливневой канализации на данном участке.,False
332,ОСИ жинаған ақшаға есеп бермейді.,ОСИ не отчитывается за собранные деньги.,ЖКХ,средняя,Алматы,новая,Председатель ОСИ обязан предоставлять ежемесячный и годовой отчеты. Вы можете инициировать ревизионную проверку.,True
333,"Емхананың дәретханалары лас, санитарлық талаптарға сай емес.","Туалеты в поликлинике грязные, не соответствуют санитарным нормам.",медицина,низкая,Кызылорда,решена,Руководству поликлиники указано на необходимость усиления контроля за санитарным состоянием помещений. Проведена генеральная уборка.,False
334,Мектептегі информатика кабинетінде интернет жоқ.,В кабинете информатики в школе нет интернета.,образование,средняя,Жамбылская область,в процессе,Проблема будет решена в ближайшее время. Ведутся работы по подключению всех учебных кабинетов к сети интернет.,False
335,Құжаттарды рәсімдеу кезінде әр қызметкер 'сыйақы' күтетінін білдіреді.,При оформлении документов каждый сотрудник намекает на 'вознаграждение'.,коррупция,высокая,Туркестанская область,новая,"Это системная проблема, требующая вмешательства. Просим вас конфиденциально сообщить детали в Антикоррупционную службу.",False
336,Қаланың жанындағы өзенге құрылыс қалдықтарын төгіп жатыр.,В реку рядом с городом сбрасывают строительный мусор.,экология,средняя,Уральск,в процессе,Будут организованы рейды для выявления и наказания нарушителей. Спасибо за вашу активную гражданскую позицию.,False
337,Жәрдемақы алу үшін қажетті анықтамалардың жарамдылық мерзімі өте қысқа.,"Срок действия справок, необходимых для получения пособия, очень короткий.",соцподдержка,низкая,Астана,новая,Вопрос увеличения срока действия некоторых справок и перевода их в цифровой формат прорабатывается.,False
338,Түнде аулада көліктердің дөңгелегін жарып кетеді. Полиция ешкімді таппайды.,По ночам во дворе прокалывают шины у машин. Полиция никого не находит.,полиция,средняя,Караганда,в процессе,Будет усилено патрулирование вашего района в ночное время. Рекомендуем рассмотреть установку камер видеонаблюдения.,False
